wikidata,department_label,commune_label
Q242331,Cantal,Saint-Rémy-de-Chaudes-Aigues
Q272895,Allier,Le Mayet-d'École
Q272842,Allier,Saint-Sornin
Q242359,Seine-et-Marne,Argentières
Q229164,Yonne,Beaumont
Q229216,Meuse,Dagonville
Q272906,Seine-Saint-Denis,Le Bourget
Q128348,Morbihan,Peillac
Q189918,Landes,Capbreton
Q128340,Morbihan,Saint-Malo-des-Trois-Fontaines
Q272988,Allier,Mazirat
Q229302,Meuse,Nettancourt
Q272980,Allier,Ussel-d'Allier
Q190098,Pyrénées-Orientales,Campoussy
Q229239,Meuse,Romagne-sous-Montfaucon
Q273017,Haute-Savoie,Évian-les-Bains
Q190062,Pyrénées-Orientales,Trilla
Q190061,Pyrénées-Atlantiques,Noguères
Q242383,Puy-de-Dôme,Saint-Martin-des-Olmes
Q189995,Pyrénées-Orientales,Saint-Arnac
Q229160,Meurthe-et-Moselle,Domptail-en-l'Air
Q190160,Pyrénées-Orientales,Espira-de-Conflent
Q128402,Yonne,Talcy
Q229339,Meurthe-et-Moselle,Champigneulles
Q190011,Pyrénées-Orientales,Vernet-les-Bains
Q229334,Meurthe-et-Moselle,Doncourt-lès-Conflans
Q128445,Yonne,Moulins-en-Tonnerrois
Q128466,Val-de-Marne,Villejuif
Q229567,Meuse,Luzy-Saint-Martin
Q273015,Allier,Huriel
Q273036,Val-d'Oise,Attainville
Q242456,Cantal,Madic
Q128405,Morbihan,Baud
Q128385,Morbihan,Plumelin
Q128400,Morbihan,Porcaro
Q242524,Essonne,Draveil
Q273021,Ardèche,Alba-la-Romaine
Q128369,Morbihan,Ploemeur
Q190130,Pyrénées-Orientales,Lansac
Q190118,Vendée,La Roche-sur-Yon
Q190144,Pyrénées-Orientales,La Cabanasse
Q273064,Val-d'Oise,Le Perchay
Q229638,Vosges,Vexaincourt
Q273012,Allier,Charroux
Q242494,Cantal,Talizat
Q229484,Meurthe-et-Moselle,Custines
Q242396,Val-d'Oise,Ézanville
Q242536,Seine-et-Marne,Champs-sur-Marne
Q242449,Val-d'Oise,Ambleville
Q273041,Val-d'Oise,Bellefontaine
Q229372,Meurthe-et-Moselle,Buriville
Q242497,Seine-Saint-Denis,Tremblay-en-France
Q272936,Allier,Saint-Marcel-en-Murat
Q128502,Morbihan,Saint-Servant
Q128437,Morbihan,Saint-Gonnery
Q128431,Morbihan,Le Bono
Q229195,Meuse,Ancerville
Q128477,Morbihan,Saint-Caradec-Trégomel
Q128463,Morbihan,Quéven
Q242614,Cantal,Saint-Étienne-de-Chomeil
Q190225,Pyrénées-Orientales,Saint-Jean-Lasseille
Q242561,Cantal,Le Falgoux
Q242509,Cantal,Junhac
Q242499,Cantal,Le Vigean
Q229421,Meurthe-et-Moselle,Clémery
Q190385,Pyrénées-Orientales,Sorède
Q273061,Val-d'Oise,Grisy-les-Plâtres
Q190480,Pyrénées-Orientales,Saint-Pierre-dels-Forcats
Q128496,Morbihan,Ruffiac
Q273078,Val-d'Oise,Presles
Q128545,Morbihan,Treffléan
Q242682,Haute-Loire,Saint-Préjet-d'Allier
Q230019,Meuse,Iré-le-Sec
Q273098,Val-d'Oise,Montsoult
